"channel","stage","count"
"direct_traffic","{leads,contacted,converted}","499"
"direct_traffic","{leads,contacted,converted}","499"
"direct_traffic","{leads,contacted,converted}","56"
"display","{leads,contacted,converted}","118"
"display","{leads,contacted,converted}","118"
"display","{leads,contacted,converted}","6"
"email","{leads,contacted,converted}","493"
"email","{leads,contacted,converted}","493"
"email","{leads,contacted,converted}","15"
"organic_search","{leads,contacted,converted}","2296"
"organic_search","{leads,contacted,converted}","2296"
"organic_search","{leads,contacted,converted}","271"
"other","{leads,contacted,converted}","150"
"other","{leads,contacted,converted}","150"
"other","{leads,contacted,converted}","4"
"other_publicities","{leads,contacted,converted}","65"
"other_publicities","{leads,contacted,converted}","65"
"other_publicities","{leads,contacted,converted}","3"
"paid_search","{leads,contacted,converted}","1586"
"paid_search","{leads,contacted,converted}","1586"
"paid_search","{leads,contacted,converted}","195"
"referral","{leads,contacted,converted}","284"
"referral","{leads,contacted,converted}","284"
"referral","{leads,contacted,converted}","24"
"social","{leads,contacted,converted}","1350"
"social","{leads,contacted,converted}","1350"
"social","{leads,contacted,converted}","75"
"unknown","{leads,contacted,converted}","1099"
"unknown","{leads,contacted,converted}","1099"
"unknown","{leads,contacted,converted}","179"
NULL,"{leads,contacted,converted}","60"
NULL,"{leads,contacted,converted}","60"
NULL,"{leads,contacted,converted}","14"
